record_id,employee_id,task_id,task_type,task_priority,required_skills,experience_years,skill_match_score,employee_workload_percent,employee_availability,employee_performance_score,employee_location,task_location,distance_km,similar_tasks_completed,similar_tasks_success_rate,estimated_effort_hours,sla_hours,remaining_sla_hours,workload_capacity,availability_score,location_compatibility,experience_performance_score,sla_urgency_ratio,workload_effort_ratio,actual_completion_hours,sla_met,task_success
H000051,E0084,T00931,Database,High,Python,12,0.0,47,1,7.67,Hyderabad,Remote,0.0,36,0.8778,11.1,21.3,11.07,53,1,1.0,92.04,0.9972,4.2342,16.9,0,1
H000052,E0236,T00240,Database,Medium,SQL|Java,10,1.0,58,1,7.84,Delhi,Mumbai,552.9,45,0.9506,4.8,12.1,8.03,42,1,0.4471,78.4,1.6737,12.0833,4.77,1,1
H000053,E0095,T00040,Cloud/DevOps,Low,Linux|Kubernetes,11,0.0,23,1,8.24,Chennai,Mumbai,146.7,17,0.7692,8.4,28.6,29.02,77,1,0.8533,90.64,3.4548,2.7381,10.39,1,1
H000054,E0247,T02996,Software Development,Medium,JavaScript|Java,9,0.0,38,1,8.51,Kolkata,Pune,527.4,17,0.8406,12.8,54.8,60.19,62,1,0.4726,76.59,4.7026,2.9688,17.11,1,1
H000055,E0096,T02272,Machine Learning,High,TensorFlow,6,0.0,77,1,6.92,Hyderabad,Coimbatore,263.6,18,0.7664,8.8,14.2,11.35,23,1,0.7364,41.52,1.2897,8.75,15.55,0,1
H000056,E0019,T03988,Cybersecurity,Medium,Azure,7,0.0,21,1,6.93,Chennai,Coimbatore,740.6,18,0.8059,5.2,12.0,8.4,79,1,0.2594,48.51,1.6149,4.0385,7.45,1,1
H000057,E0282,T03046,Database,Medium,Python|MongoDB|PostgreSQL,8,0.0,16,1,7.33,Pune,Bangalore,324.4,44,0.7286,9.4,42.8,30.33,84,1,0.6756,58.64,3.2271,1.7021,12.45,1,1
H000058,E0287,T02976,Cybersecurity,High,Python|AWS,4,0.5,22,1,8.54,Mumbai,Pune,139.8,42,0.7534,4.8,13.1,10.05,78,1,0.8602,34.16,2.0935,4.5833,6.97,1,1
H000059,E0282,T03826,Testing,High,Python|JavaScript,8,0.5,19,1,7.33,Pune,Delhi,219.6,40,0.8154,7.3,20.1,21.54,81,1,0.7804,58.64,2.9512,2.6027,9.03,1,1
H000060,E0209,T01613,Cybersecurity,Low,Cybersecurity,4,0.0,48,1,8.54,Hyderabad,Hyderabad,0.0,4,0.7975,12.7,41.2,45.86,52,1,1.0,34.16,3.6114,3.7795,22.86,1,1
H000061,E0225,T01467,Database,Medium,PostgreSQL|MongoDB|Java,7,0.0,76,1,7.95,Mumbai,Remote,0.0,36,0.9396,4.5,12.0,12.6,24,1,1.0,55.65,2.7998,16.8889,7.81,1,1
H000062,E0196,T03589,Data Engineering,Medium,Python|Azure|PostgreSQL,9,0.0,82,1,6.77,Kolkata,Pune,254.7,11,0.7051,6.9,16.5,18.34,18,1,0.7453,60.93,2.6575,11.8841,11.15,1,1
H000063,E0167,T03856,Testing,Low,Java|SQL|Selenium,8,0.6667,52,1,7.48,Mumbai,Bangalore,354.9,9,0.806,10.0,72.6,40.62,48,1,0.6451,59.84,4.0619,5.2,10.56,1,1
H000064,E0163,T00929,Software Development,Medium,Python|C++|JavaScript,6,0.0,68,1,8.69,Coimbatore,Mumbai,130.1,18,0.7606,5.2,22.7,24.15,32,1,0.8699,52.14,4.6436,13.0769,8.75,1,1
H000065,E0257,T03968,Cloud/DevOps,Critical,Kubernetes,11,0.0,25,1,7.84,Hyderabad,Kolkata,641.4,27,0.7951,4.9,8.2,8.04,75,1,0.3586,86.24,1.6405,5.102,7.91,1,1
H000066,E0028,T00840,Testing,Medium,JavaScript|SQL|Selenium,6,0.6667,33,1,8.82,Mumbai,Mumbai,0.0,22,0.7689,4.3,19.9,15.99,67,1,1.0,52.92,3.7178,7.6744,4.86,1,1
H000067,E0172,T03028,Cloud/DevOps,High,Kubernetes|Linux|Docker,7,0.6667,11,1,8.47,Mumbai,Delhi,172.7,19,0.8467,5.7,11.9,13.64,89,1,0.8273,59.29,2.3923,1.9298,7.02,1,1
H000068,E0185,T03984,Testing,Medium,Selenium,12,0.0,47,1,7.08,Bangalore,Bangalore,0.0,12,0.802,5.6,12.0,13.03,53,1,1.0,84.96,2.3264,8.3929,7.15,1,1
H000069,E0093,T01304,Support,Medium,AWS|Python,7,0.0,51,1,7.32,Delhi,Remote,0.0,45,0.7847,22.3,59.1,24.5,49,1,1.0,51.24,1.0987,2.287,28.5,0,1
H000070,E0143,T04922,Bug Fix,Low,Java|SQL|Python,4,0.6667,68,1,8.68,Coimbatore,Remote,0.0,34,0.8142,3.9,26.5,14.66,32,1,1.0,34.72,3.759,17.4359,5.67,1,1
H000071,E0185,T03659,Database,High,PostgreSQL|Java,12,0.0,24,1,7.08,Bangalore,Remote,0.0,18,0.7706,9.4,22.1,17.64,76,1,1.0,84.96,1.8769,2.5532,12.5,1,1
H000072,E0034,T04504,Data Engineering,Medium,Python|Azure,11,0.0,33,1,7.35,Delhi,Remote,0.0,15,0.7631,7.9,32.9,22.46,67,1,1.0,80.85,2.8432,4.1772,11.71,1,1
H000073,E0265,T02040,Software Development,Low,Python|C++,10,0.0,27,1,7.62,Bangalore,Kolkata,552.1,33,0.8056,7.5,40.3,40.32,73,1,0.4479,76.2,5.3754,3.6,10.73,1,1
H000074,E0233,T02586,Cloud/DevOps,Low,Python,10,0.0,94,1,8.67,Kolkata,Chennai,298.0,9,0.9549,4.5,24.0,17.5,6,1,0.702,86.7,3.8899,20.8889,8.56,1,1
H000075,E0074,T02126,Data Engineering,Low,PostgreSQL|Spark|AWS,8,0.3333,68,1,7.23,Chennai,Remote,0.0,39,0.7104,5.8,39.8,31.18,32,1,1.0,57.84,5.3761,11.7241,8.32,1,1
H000076,E0205,T00231,Data Engineering,Low,Azure,5,0.0,36,1,8.05,Kolkata,Pune,455.3,3,0.7565,3.2,24.0,24.07,64,1,0.5447,40.25,7.5233,11.25,4.35,1,1
H000077,E0170,T04113,Bug Fix,High,Spring Boot|C++,8,0.0,68,1,7.7,Chennai,Delhi,489.9,35,0.6158,7.8,23.3,13.15,32,1,0.5101,61.6,1.6858,8.7179,11.35,0,0
H000078,E0043,T01166,Support,Critical,SQL,11,0.0,63,1,8.98,Hyderabad,Chennai,252.5,8,0.8917,2.3,3.0,2.7,37,1,0.7475,98.78,1.1737,27.3913,2.84,0,0
H000079,E0235,T02505,Bug Fix,Low,Java,7,0.0,74,1,6.54,Mumbai,Kolkata,490.7,2,0.6898,13.7,68.0,28.15,26,1,0.5093,45.78,2.0548,5.4015,20.71,1,1
H000080,E0175,T00790,Support,High,SQL|Java|Python,8,0.0,85,0,7.78,Mumbai,Bangalore,588.3,22,0.7814,5.6,13.2,5.45,15,0,0.4117,62.24,0.9726,15.1786,15.78,0,1
H000081,E0056,T03177,Machine Learning,High,Deep Learning,2,0.0,25,1,7.82,Coimbatore,Remote,0.0,14,0.7046,10.3,24.2,18.87,75,1,1.0,15.64,1.8325,2.4272,19.5,0,1
H000082,E0191,T00634,Bug Fix,Low,Spring Boot|C++|JavaScript,6,0.0,73,1,8.28,Kolkata,Mumbai,58.4,11,0.7931,5.1,34.9,16.64,27,1,0.9416,49.68,3.2624,14.3137,9.04,1,1
H000083,E0238,T04174,Cybersecurity,Critical,Cybersecurity|AWS|Python,8,0.6667,20,1,7.24,Delhi,Coimbatore,153.4,29,0.8845,3.4,5.6,3.35,80,1,0.8466,57.92,0.9844,5.8824,3.42,0,1
H000084,E0040,T00507,Testing,Medium,Java|SQL|JavaScript,12,0.3333,44,1,8.41,Delhi,Remote,0.0,8,0.8256,11.9,53.2,27.91,56,1,1.0,100.92,2.3453,3.6975,13.23,1,1
H000085,E0132,T01989,Bug Fix,High,JavaScript|Python|Java,5,0.0,32,1,7.83,Coimbatore,Mumbai,815.6,30,0.7618,4.1,6.3,4.97,68,1,0.1844,39.15,1.2114,7.8049,6.42,0,1
H000086,E0217,T02275,Database,Medium,Java,5,0.0,74,1,9.57,Coimbatore,Coimbatore,0.0,39,0.9479,7.7,22.2,15.22,26,1,1.0,47.85,1.9768,9.6104,11.09,1,1
H000087,E0070,T00655,Testing,High,Python|SQL,10,0.0,42,1,8.19,Hyderabad,Chennai,833.8,32,0.7753,4.4,10.4,9.76,58,1,0.1662,81.9,2.2179,9.5455,5.51,1,1
H000088,E0062,T02190,Testing,Low,Python|Java|Selenium,4,0.0,89,1,9.19,Kolkata,Mumbai,663.7,21,0.8121,3.5,24.2,17.52,11,1,0.3363,36.76,5.0052,25.4286,6.66,1,1
H000089,E0256,T01528,Software Development,High,Java|C++,9,0.0,44,1,8.27,Kolkata,Chennai,230.5,45,0.8584,8.4,22.1,22.33,56,1,0.7695,74.43,2.6588,5.2381,11.64,1,1
H000090,E0036,T00845,Machine Learning,Medium,PyTorch|Machine Learning|TensorFlow,4,0.3333,28,1,7.53,Mumbai,Remote,0.0,23,0.6755,4.2,12.0,11.96,72,1,1.0,30.12,2.8475,6.6667,6.27,1,1
H000091,E0250,T01728,Testing,Critical,SQL,2,0.0,15,1,8.44,Mumbai,Hyderabad,128.3,10,0.7036,7.8,13.2,10.97,85,1,0.8717,16.88,1.4065,1.9231,14.02,0,0
H000092,E0293,T02292,Software Development,High,Node.js|React|Python,9,0.3333,65,0,7.88,Delhi,Mumbai,258.0,32,0.8486,6.4,18.2,9.48,35,0,0.742,70.92,1.4815,10.1562,11.22,0,1
H000093,E0099,T02837,Support,High,Azure|Java,2,0.0,52,1,7.81,Coimbatore,Hyderabad,437.8,30,0.7328,8.0,18.7,9.35,48,1,0.5622,15.62,1.1686,6.5,14.85,0,1
H000094,E0096,T04022,Database,Medium,PostgreSQL|Python|SQL,6,0.3333,72,1,6.92,Hyderabad,Bangalore,148.3,19,0.7474,4.8,21.5,10.69,28,1,0.8517,41.52,2.228,15.0,7.82,1,1
H000095,E0225,T01331,Testing,Medium,Java|Python|SQL,7,0.3333,65,1,7.95,Mumbai,Coimbatore,812.1,35,0.8343,8.7,33.8,38.22,35,1,0.1879,55.65,4.3928,7.4713,13.6,1,1
H000096,E0158,T04663,Support,Medium,Linux|Java|SQL,3,0.3333,57,0,8.78,Mumbai,Kolkata,334.4,39,0.7842,5.9,29.1,29.38,43,0,0.6656,26.34,4.9789,9.661,17.77,1,1
H000097,E0060,T04614,Cybersecurity,Medium,Python|Azure|AWS,8,0.3333,69,1,9.01,Chennai,Mumbai,543.4,17,0.8793,7.7,28.4,26.1,31,1,0.4566,72.08,3.3895,8.961,9.54,1,1
H000098,E0014,T01411,Machine Learning,High,Machine Learning,2,0.0,70,1,8.33,Bangalore,Remote,0.0,7,0.8225,5.6,14.2,15.0,30,1,1.0,16.66,2.6781,12.5,11.72,1,1
H000099,E0003,T00329,Support,Medium,AWS|SQL|Java,5,0.0,47,1,9.25,Coimbatore,Bangalore,168.4,3,0.8111,3.6,16.7,8.07,53,1,0.8316,46.25,2.2427,13.0556,5.36,1,1
H000100,E0197,T00404,Bug Fix,Critical,JavaScript|Python,12,0.0,16,1,8.77,Coimbatore,Delhi,45.2,27,0.9045,7.4,9.4,6.17,84,1,0.9548,105.24,0.8338,2.1622,11.33,0,1
H000101,E0008,T00755,Bug Fix,Medium,Spring Boot|C++,12,0.5,67,1,7.71,Kolkata,Hyderabad,465.3,16,0.862,8.2,19.3,20.6,33,1,0.5347,92.52,2.5126,8.1707,10.69,1,1
H000102,E0250,T01569,Testing,High,JavaScript,2,0.0,39,1,8.44,Mumbai,Coimbatore,345.5,20,0.6373,9.2,22.5,8.92,61,1,0.6545,16.88,0.97,4.2391,14.58,0,1
H000103,E0258,T02991,Data Engineering,High,Python|SQL,6,0.0,83,1,7.59,Kolkata,Mumbai,666.4,11,0.6235,3.3,7.6,3.4,17,1,0.3336,45.54,1.0292,25.1515,4.92,0,0
H000104,E0179,T00436,Cybersecurity,Low,Cybersecurity,3,0.0,73,1,7.77,Chennai,Mumbai,766.8,21,0.7494,10.6,55.4,20.08,27,1,0.2332,23.31,1.8945,6.8868,21.33,0,0
H000105,E0065,T03794,Testing,Low,JavaScript|Java,12,0.5,66,1,7.13,Hyderabad,Pune,70.5,44,0.7708,4.3,33.8,34.66,34,1,0.9295,85.56,8.0605,15.3488,5.09,1,1
H000106,E0219,T04985,Cloud/DevOps,Critical,AWS|Azure|Linux,2,0.3333,84,1,7.6,Chennai,Remote,0.0,40,0.6432,2.0,2.5,2.36,16,1,1.0,15.2,1.1807,42.0,3.37,0,1
H000107,E0275,T03406,Testing,High,Python|Selenium|Java,8,0.3333,32,1,8.49,Coimbatore,Remote,0.0,40,0.9232,4.4,11.5,6.36,68,1,1.0,67.92,1.4466,7.2727,5.54,1,1
H000108,E0259,T02499,Support,Medium,Java|Linux|AWS,8,0.3333,20,1,9.92,Kolkata,Delhi,795.7,0,0.873,6.3,23.1,23.55,80,1,0.2043,79.36,3.7382,3.1746,6.34,1,1
H000109,E0135,T01568,Data Engineering,Medium,SQL|Python|Spark,3,0.0,20,1,8.55,Mumbai,Delhi,426.0,6,0.8304,5.0,12.9,9.75,80,1,0.574,25.65,1.9508,4.0,7.11,0,0
H000110,E0278,T01827,Cybersecurity,Medium,AWS|Linux,11,0.0,19,1,7.42,Hyderabad,Pune,667.7,10,0.813,7.5,26.0,22.46,81,1,0.3323,81.62,2.9944,2.5333,9.55,0,0
H000111,E0138,T02700,Data Engineering,High,Azure|Python,8,0.0,46,1,6.89,Delhi,Bangalore,249.0,30,0.6889,4.7,9.9,7.73,54,1,0.751,55.12,1.6455,9.7872,6.72,1,1
H000112,E0026,T00293,Support,High,Linux,10,1.0,77,1,7.71,Pune,Kolkata,516.7,7,0.8238,5.9,16.8,13.0,23,1,0.4833,77.1,2.2032,13.0508,5.74,1,1
H000113,E0123,T01764,Testing,Medium,Python|Selenium,10,0.5,52,1,7.09,Delhi,Coimbatore,814.4,32,0.7745,1.9,12.0,4.74,48,1,0.1856,70.9,2.4939,27.3684,2.19,1,1
H000114,E0116,T00707,Bug Fix,Low,Spring Boot,10,0.0,73,0,7.84,Bangalore,Hyderabad,308.5,22,0.8069,8.1,28.5,25.39,27,0,0.6915,78.4,3.1345,9.0123,16.6,1,1
H000115,E0174,T03776,Cloud/DevOps,Medium,Python|Linux,10,0.0,95,1,7.27,Chennai,Bangalore,592.4,7,0.6958,6.9,27.7,25.99,5,1,0.4076,72.7,3.7669,13.7681,12.45,0,0
H000116,E0276,T02301,Support,High,AWS|Linux|Java,1,0.0,17,1,7.85,Hyderabad,Delhi,464.9,40,0.6885,10.8,17.4,10.54,83,1,0.5351,7.85,0.9759,1.5741,16.12,0,1
H000117,E0278,T00718,Cloud/DevOps,High,Azure|AWS,11,0.0,17,1,7.42,Hyderabad,Coimbatore,613.4,43,0.797,5.7,16.9,18.64,83,1,0.3866,81.62,3.2697,2.9825,7.35,1,1
H000118,E0144,T02648,Cloud/DevOps,Medium,Python|Linux,7,0.0,60,1,7.39,Coimbatore,Kolkata,410.0,28,0.7865,11.6,31.1,17.1,40,1,0.59,51.73,1.4737,5.1724,20.1,0,1
H000119,E0020,T00548,Bug Fix,High,Spring Boot,3,0.0,65,1,8.99,Pune,Chennai,179.9,2,0.7268,3.8,11.0,11.12,35,1,0.8201,26.97,2.9265,17.1053,6.36,1,1
H000120,E0041,T00312,Machine Learning,High,Python,11,0.0,50,1,9.25,Delhi,Mumbai,342.1,41,0.99,7.3,14.7,12.77,50,1,0.6579,101.75,1.7487,6.8493,9.76,1,1
H000121,E0001,T03558,Cybersecurity,Medium,Python|Linux|AWS,4,0.3333,78,1,8.41,Delhi,Coimbatore,116.1,27,0.7257,5.6,17.3,14.51,22,1,0.8839,33.64,2.5906,13.9286,8.29,1,1
H000122,E0044,T04556,Machine Learning,Medium,Deep Learning,4,1.0,78,1,8.66,Kolkata,Hyderabad,127.6,5,0.7441,8.4,38.8,35.5,22,1,0.8724,34.64,4.226,9.2857,10.68,1,1
H000123,E0113,T02958,Cloud/DevOps,High,Docker|Azure|AWS,12,0.6667,46,1,8.79,Coimbatore,Hyderabad,38.6,31,0.8027,6.0,17.3,15.62,54,1,0.9614,105.48,2.6032,7.6667,5.57,1,1
H000124,E0069,T04110,Machine Learning,Critical,SQL|PyTorch|Deep Learning,2,0.3333,66,1,8.58,Delhi,Remote,0.0,37,0.911,14.6,24.0,10.21,34,1,1.0,17.16,0.6995,4.5205,23.82,0,1
